TnxTime,TxnID,ItemNo,Qty,CardNum
1577836800.0,1,4444,4,4049
1577836802.0,2,2222,10,3724
1577836804.0,3,1111,6,2938
1577836805.0,4,1111,10,2938
1577836806.0,5,3333,10,2435
1577836806.0,6,4444,9,3724
1577836808.0,7,2222,7,5723
1577836809.0,8,2222,4,8987
1577836810.0,9,4444,2,9121
1577836812.0,10,3333,9,4049
1577836814.0,11,3333,5,8123
1577836815.0,12,5555,7,3135
1577836815.0,13,1111,4,2938
1577836817.0,14,4444,1,4857
1577836819.0,15,3333,8,5723
1577836822.0,16,2222,5,4958
1577836822.0,17,3333,2,8123
1577836824.0,18,3333,10,8123
1577836824.0,19,2222,6,4857
1577836824.0,20,2222,8,1354
1577836824.0,21,5555,7,1545
1577836826.0,22,5555,7,3068
1577836828.0,23,5555,3,9121
1577836828.0,24,4444,1,2234
1577836828.0,25,5555,2,1545
1577836830.0,26,5555,4,4049
1577836833.0,27,5555,1,2435
1577836833.0,28,5555,6,7896
1577836833.0,29,1111,4,5723
1577836834.0,30,2222,8,7896
1577836836.0,31,3333,4,2938
1577836839.0,32,1111,8,1545
1577836841.0,33,3333,6,3724
1577836844.0,34,3333,9,3068
1577836844.0,35,4444,5,4049
1577836845.0,36,3333,7,2435
1577836848.0,37,1111,2,4049
1577836851.0,38,1111,5,1354
1577836854.0,39,4444,2,4049
1577836857.0,40,5555,1,9121
1577836860.0,41,5555,5,1545
1577836863.0,42,5555,9,3724
1577836863.0,43,2222,2,3135
1577836865.0,44,4444,9,5723
1577836865.0,45,1111,6,8987
1577836867.0,46,4444,5,8987
1577836870.0,47,1111,8,7896
1577836873.0,48,4444,10,2234
1577836875.0,49,5555,5,8987
1577836878.0,50,2222,6,2435
1577836879.0,51,5555,8,2435
1577836882.0,52,1111,4,5723
1577836885.0,53,4444,4,5723
1577836885.0,54,1111,10,1545
1577836885.0,55,3333,8,7896
1577836886.0,56,3333,10,4049
1577836887.0,57,4444,6,3724
1577836888.0,58,3333,10,3135
1577836889.0,59,4444,10,2938
1577836889.0,60,3333,5,2234
1577836890.0,61,3333,4,4857
1577836892.0,62,5555,5,2938
1577836894.0,63,3333,3,5723
1577836896.0,64,4444,7,8123
1577836896.0,65,5555,4,9121
1577836896.0,66,2222,9,4049
1577836896.0,67,3333,7,4857
1577836899.0,68,5555,8,3068
1577836902.0,69,4444,1,1545
1577836903.0,70,2222,8,2435
1577836905.0,71,5555,2,3068
1577836906.0,72,3333,8,8123
1577836907.0,73,4444,10,2938
1577836910.0,74,4444,4,3068
1577836910.0,75,1111,2,2938
1577836913.0,76,1111,4,3068
1577836915.0,77,1111,6,8123
1577836915.0,78,5555,8,8987
1577836918.0,79,3333,2,8123
1577836919.0,80,2222,4,1545
1577836921.0,81,3333,6,4049
1577836922.0,82,4444,9,8123
1577836924.0,83,5555,2,3135
1577836926.0,84,2222,7,5723
1577836928.0,85,5555,6,1545
1577836930.0,86,5555,5,1545
1577836930.0,87,3333,5,2938
1577836931.0,88,1111,5,2435
1577836931.0,89,5555,2,3724
1577836932.0,90,3333,9,8123
1577836934.0,91,5555,4,1545
1577836935.0,92,5555,7,1354
1577836937.0,93,5555,1,1354
1577836938.0,94,5555,5,3068
1577836938.0,95,4444,5,3068
1577836938.0,96,4444,7,2938
1577836940.0,97,3333,4,1354
1577836940.0,98,2222,5,4958
